iter	Passed	Remaining
542	4313	3630
543	4321	3622
544	4328	3613
545	4335	3604
546	4342	3596
547	4350	3588
548	4356	3579
549	4363	3570
550	4370	3561
551	4377	3552
552	4385	3544
553	4391	3535
554	4399	3527
555	4405	3518
556	4412	3509
557	4419	3500
558	4426	3492
559	4433	3483
560	4440	3474
561	4446	3465
562	4454	3457
563	4461	3448
564	4468	3440
565	4475	3432
566	4482	3423
567	4489	3414
568	4496	3406
569	4504	3398
570	4511	3389
571	4518	3381
572	4525	3372
573	4533	3364
574	4540	3355
575	4546	3346
576	4553	3338
577	4560	3329
578	4567	3321
579	4574	3312
580	4581	3304
581	4589	3296
582	4596	3287
583	4603	3279
584	4611	3271
585	4617	3262
586	4626	3255
587	4634	3247
588	4641	3238
589	4647	3229
590	4655	3221
591	4661	3212
592	4667	3203
593	4673	3194
594	4680	3186
595	4688	3177
596	4694	3169
597	4702	3161
598	4709	3152
599	4716	3144
600	4723	3135
601	4729	3126
602	4735	3117
603	4741	3108
604	4749	3100
605	4755	3092
606	4762	3083
607	4769	3075
608	4776	3066
609	4782	3057
610	4789	3049
611	4796	3040
612	4803	3032
613	4810	3024
614	4817	3016
615	4825	3008
616	4832	2999
617	4839	2991
618	4847	2983
619	4853	2974
620	4860	2966
621	4868	2958
622	4876	2950
623	4883	2942
624	4890	2934
625	4897	2925
626	4904	2917
627	4911	2909
628	4917	2900
629	4924	2891
630	4931	2883
631	4938	2875
632	4944	2866
633	4951	2858
634	4958	2849
635	4964	2841
636	4971	2832
637	4978	2824
638	4985	2816
639	4992	2808
640	4999	2800
641	5007	2792
642	5013	2783
643	5020	2775
644	5027	2767
645	5034	2758
646	5041	2750
647	5048	2742
648	5055	2734
649	5062	2725
650	5069	2717
651	5077	2709
652	5085	2702
653	5093	2694
654	5101	2687
655	5108	2679
656	5116	2671
657	5123	2663
658	5131	2655
659	5139	2647
660	5146	2639
661	5153	2631
662	5161	2623
663	5168	2615
664	5176	2607
665	5184	2599
666	5191	2592
667	5198	2583
668	5205	2575
669	5212	2567
670	5220	2559
671	5228	2552
672	5238	2545
673	5248	2538
674	5257	2531
675	5266	2524
676	5273	2516
677	5281	2508
678	5288	2500
679	5296	2492
680	5304	2484
681	5313	2477
682	5320	2469
683	5327	2461
684	5334	2453
685	5341	2444
686	5349	2437
687	5356	2429
688	5375	2426
689	5382	2418
690	5389	2410
691	5396	2401
692	5403	2393
693	5410	2385
694	5417	2377
695	5424	2369
696	5431	2361
697	5438	2353
698	5447	2345
699	5454	2337
700	5462	2329
701	5470	2322
702	5477	2313
703	5482	2305
704	5489	2297
705	5496	2289
706	5503	2280
707	5511	2272
708	5518	2264
709	5525	2256
710	5532	2248
711	5539	2240
712	5547	2233
713	5554	2225
714	5561	2216
715	5568	2208
716	5576	2201
717	5582	2192
718	5589	2184
719	5596	2176
720	5603	2168
721	5610	2160
722	5617	2152
723	5623	2143
724	5630	2135
725	5637	2127
726	5644	2119
727	5650	2111
728	5657	2103
729	5664	2095
730	5671	2086
731	5677	2078
732	5684	2070
733	5691	2062
734	5698	2054
735	5705	2046
736	5712	2038
737	5718	2030
738	5725	2022
739	5732	2014
740	5739	2006
741	5746	1998
742	5754	1990
743	5760	1982
744	5767	1974
745	5774	1966
746	5780	1957
747	5787	1949
748	5794	1941
749	5802	1934
750	5809	1926
751	5817	1918
752	5824	1910
753	5831	1902
754	5837	1894
755	5844	1886
756	5851	1878
757	5858	1870
758	5865	1862
759	5871	1854
760	5878	1846
761	5885	1838
762	5891	1830
763	5898	1822
764	5905	1814
765	5913	1806
766	5919	1798
767	5926	1790
768	5933	1782
769	5939	1774
770	5945	1766
771	5953	1758
772	5959	1750
773	5966	1742
774	5973	1734
775	5980	1726
776	5987	1718
777	5994	1710
778	6001	1702
779	6009	1695
780	6016	1687
781	6024	1679
782	6030	1671
783	6036	1663
784	6044	1655
785	6051	1647
786	6058	1639
787	6065	1631
788	6072	1623
789	6079	1615
790	6086	1608
791	6092	1600
792	6099	1592
793	6107	1584
794	6114	1576
795	6122	1569
796	6129	1561
797	6136	1553
798	6143	1545
799	6150	1537
800	6156	1529
801	6163	1521
802	6170	1513
803	6177	1505
804	6184	1498
805	6193	1490
806	6201	1483
807	6209	1475
808	6217	1468
809	6226	1460
810	6233	1452
811	6240	1444
812	6248	1437
813	6255	1429
814	6262	1421
815	6269	1413
816	6276	1405
817	6283	1397
818	6290	1390
819	6298	1382
820	6305	1374
821	6312	1366
822	6320	1359
823	6326	1351
824	6333	1343
825	6341	1335
826	6348	1327
827	6355	1320
828	6362	1312
829	6370	1304
830	6378	1297
831	6386	1289
832	6394	1281
833	6401	1274
834	6408	1266
835	6415	1258
836	6422	1250
837	6429	1243
838	6437	1235
839	6445	1227
840	6453	1220
841	6462	1212
842	6469	1204
843	6476	1197
844	6483	1189
845	6490	1181
846	6499	1173
847	6506	1166
848	6513	1158
849	6521	1150
850	6528	1143
851	6536	1135
852	6543	1127
853	6549	1119
854	6556	1111
855	6564	1104
856	6570	1096
857	6578	1088
858	6585	1080
859	6592	1073
860	6598	1065
861	6606	1057
862	6613	1049
863	6619	1041
864	6626	1034
865	6633	1026
866	6640	1018
867	6647	1010
868	6654	1003
869	6661	995
870	6668	987
871	6675	979
872	6683	972
873	6689	964
874	6696	956
875	6703	948
876	6710	941
877	6717	933
878	6724	925
879	6730	917
880	6737	910
881	6744	902
882	6751	894
883	6758	886
884	6764	879
885	6771	871
886	6778	863
887	6784	855
888	6791	848
889	6798	840
890	6805	832
891	6812	824
892	6819	817
893	6826	809
894	6833	801
895	6842	794
896	6850	786
897	6857	778
898	6864	771
899	6871	763
900	6878	755
901	6885	748
902	6892	740
903	6899	732
904	6905	724
905	6912	717
906	6919	709
907	6926	701
908	6933	694
909	6940	686
910	6947	678
911	6954	671
912	6961	663
913	6969	655
914	6976	648
915	6983	640
916	6990	632
917	6996	624
918	7004	617
919	7022	610
920	7029	602
921	7036	595
922	7042	587
923	7049	579
924	7056	572
925	7063	564
926	7069	556
927	7076	549
928	7083	541
929	7090	533
930	7096	525
931	7103	518
932	7110	510
933	7117	502
934	7125	495
935	7132	487
936	7138	479
937	7146	472
938	7153	464
939	7160	457
940	7166	449
941	7173	441
942	7180	434
943	7187	426
944	7194	418
945	7201	411
946	7208	403
947	7215	395
948	7222	388
949	7229	380
950	7235	372
951	7242	365
952	7250	357
953	7257	349
954	7263	342
955	7270	334
956	7278	327
957	7285	319
958	7293	311
959	7300	304
960	7308	296
961	7316	288
962	7323	281
963	7330	273
964	7337	266
965	7344	258
966	7351	250
967	7358	243
968	7365	235
969	7372	228
970	7379	220
971	7386	212
972	7393	205
973	7401	197
974	7408	189
975	7415	182
976	7422	174
977	7429	167
978	7436	159
979	7443	151
980	7450	144
981	7456	136
982	7463	129
983	7470	121
984	7478	113
985	7484	106
986	7491	98
987	7499	91
988	7506	83
989	7513	75
990	7521	68
991	7529	60
992	7536	53
993	7543	45
994	7550	37
995	7557	30
996	7564	22
997	7572	15
998	7580	7
999	7588	0
